City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,kholodnyy,62.7167,147.95,57.81,75,100,8.66,RU,1686624725
351,hambantota,6.1241,81.1185,86.34,79,20,10.36,LK,1686624725
352,yaan,7.3833,8.5667,72.73,95,99,3.65,NG,1686624725
353,cidreira,-30.1811,-50.2056,48.27,71,83,8.16,BR,1686624725
354,gandia,38.9667,-0.1833,71.55,87,97,1.99,ES,1686624725
355,port augusta,-32.5,137.7667,62.62,47,11,19.24,AU,1686624726
356,sawtell,-30.3833,153.1,72.19,56,94,8.05,AU,1686624726
357,namatanai,-3.6667,152.4333,85.03,73,28,8.23,PG,1686624726
358,villazon,-22.0866,-65.5942,38.68,28,0,8.59,BO,1686624726
359,chernyshevskiy,63.0128,112.4714,62.44,29,3,1.7,RU,1686624726
360,atar,20.5169,-13.0499,84.27,22,66,9.04,MR,1686624726
361,saint-pierre,-21.3393,55.4781,72.57,73,0,6.91,RE,1686624726
